element	sp_num	ritz_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	Type	
Na	1	"2544.6044"	"4.46e+04"	"8.65e-05"	C+	"0.00000"	"39298.84"		
Na	1	"2544.6361"	"4.35e+04"	"4.22e-05"	C+	"0.00000"	"39298.35"		
Na	1	"2594.6442"	"8.13e+04"	"1.64e-04"	B	"0.00000"	"38540.93"		
Na	1	"2594.6947"	"7.96e+04"	"8.03e-05"	C+	"0.00000"	"38540.18"		
Na	1	"2681.1369"	"1.84e+05"	"3.98e-04"	B+	"0.00000"	"37297.61"		
Na	1	"2681.2297"	"1.81e+05"	"1.96e-04"	B	"0.00000"	"37296.32"		
Mg	2	"2796.352"	"2.60e+08"	"6.08e-01"	A+	"0.00"	"35760.88"		
Mg	2	"2803.531"	"2.57e+08"	"3.03e-01"	A+	"0.00"	"35669.31"		
Mg	1	"2852.9642"	"4.91e+08"	"1.80e+00"	A	"0.000"	"35051.264"		
Na	1	"2853.6492"	"5.38e+05"	"1.31e-03"	B+	"0.00000"	"35042.85"		
Na	1	"2853.8503"	"5.31e+05"	"6.48e-04"	B+	"0.00000"	"35040.38"		
K	1	"2928.3875"	"8.15e+02"	"2.10e-06"	C+	"0.0000"	"34148.4861"		
K	1	"2928.4268"	"4.69e+02"	"6.04e-07"	C+	"0.0000"	"34148.0284"		
K	1	"2943.5300"	"1.13e+03"	"2.93e-06"	C+	"0.0000"	"33972.8148"		
K	1	"2943.5827"	"6.82e+02"	"8.9e-07"	C+	"0.0000"	"33972.2064"		
K	1	"2964.0758"	"1.73e+03"	"4.55e-06"	C+	"0.0000"	"33737.3284"		
K	1	"2964.1488"	"1.10e+03"	"1.45e-06"	C+	"0.0000"	"33736.4979"		
K	1	"2992.9905"	"3.16e+03"	"8.50e-06"	C+	"0.0000"	"33411.3986"		
K	1	"2993.0952"	"2.12e+03"	"2.85e-06"	C+	"0.0000"	"33410.2306"		
K	1	"3035.6452"	"6.74e+03"	"1.86e-05"	B	"0.0000"	"32941.9262"		
K	1	"3035.8040"	"4.78e+03"	"6.60e-06"	C+	"0.0000"	"32940.2030"		
K	1	"3102.689"	"1.62e+04"	"4.66e-05"	B+	"0.0000"	"32230.11"		
K	1	"3102.946"	"1.22e+04"	"1.76e-05"	C+	"0.0000"	"32227.44"		
K	1	"3218.083"	"5.01e+04"	"1.55e-04"	B+	"0.0000"	"31074.40"		
K	1	"3218.549"	"4.00e+04"	"6.22e-05"	C+	"0.0000"	"31069.90"		
Na	1	"3303.3194"	"2.75e+06"	"9.00e-03"	A	"0.00000"	"30272.58"		
Na	1	"3303.9295"	"2.73e+06"	"4.46e-03"	B+	"0.00000"	"30266.99"		
K	1	"3447.359"	"1.65e+05"	"5.89e-04"	B+	"0.0000"	"29007.71"		
K	1	"3448.363"	"1.45e+05"	"2.58e-04"	C+	"0.0000"	"28999.27"		
K	1	"4045.2847"	"1.15e+06"	"5.67e-03"	A	"0.0000"	"24720.139"		
K	1	"4048.3565"	"1.07e+06"	"2.63e-03"	B+	"0.0000"	"24701.382"		
Mg	1	"4572.3767"	"2.54e+02"	"2.38e-06"	D	"0.000"	"21870.464"		
Mg	1	"4576.574"	"5.8e-04"	"1.8e-12"	D	"0.000"	"21850.405"		
Na	1	"5891.583253"	"6.16e+07"	"6.41e-01"	AA	"0.00000"	"16973.36619"		
Na	1	"5897.558147"	"6.14e+07"	"3.20e-01"	AA	"0.00000"	"16956.17025"		
K	1	"7667.0089"	"3.779e+07"	"6.661e-01"	AAA	"0.0000"	"13042.896027"		
K	1	"7701.0835"	"3.734e+07"	"3.3201e-01"	AAA	"0.0000"	"12985.185724"		
